,id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos
289,JUJUY_RINCONADA,"Rinconada, Jujuy",UNION POR LA PATRIA,2.94,3.6,16.3,25.97,51.18,31,38,172,274,540,64.99,1651,1073,1.12,0.09,0.47,12,1
290,JUJUY_SAN ANTONIO,"San Antonio, Jujuy",LA LIBERTAD AVANZA,2.34,5.55,26.2,39.09,26.83,112,266,1256,1874,1286,81.08,6037,4895,1.08,0.16,0.82,53,8
291,JUJUY_SAN PEDRO,"San Pedro, Jujuy",UNION POR LA PATRIA,2.09,5.37,21.91,30.71,39.91,1072,2753,11226,15735,20451,79.62,65745,52344,1.26,0.02,0.83,661,12
292,JUJUY_SANTA BARBARA,"Santa Barbara, Jujuy",UNION POR LA PATRIA,1.02,2.22,25.96,26.84,43.97,124,269,3151,3258,5337,79.88,15463,12352,1.21,0.09,0.43,149,11
293,JUJUY_SANTA CATALINA,"Santa Catalina, Jujuy",UNION POR LA PATRIA,2.38,2.55,24.55,26.7,43.83,42,45,434,472,775,71.27,2555,1821,1.43,0.27,1.21,26,5
294,JUJUY_SUSQUES,"Susques, Jujuy",UNION POR LA PATRIA,6.57,5.11,15.38,33.58,39.35,140,109,328,716,839,64.13,3479,2231,2.6,0.0,1.84,58,0
295,JUJUY_TILCARA,"Tilcara, Jujuy",UNION POR LA PATRIA,5.7,5.28,13.85,33.5,41.66,506,468,1229,2972,3696,76.03,11966,9098,1.44,0.08,0.98,131,7
296,JUJUY_TUMBAYA,"Tumbaya, Jujuy",UNION POR LA PATRIA,3.77,3.57,25.78,29.87,37.01,152,144,1040,1205,1493,80.38,5128,4122,1.16,0.07,0.9,48,3
297,JUJUY_VALLE GRANDE,"Valle Grande, Jujuy",UNION POR LA PATRIA,1.42,1.6,35.11,14.72,47.16,8,9,198,83,266,19.61,2906,570,0.35,0.53,0.18,2,3
298,JUJUY_YAVI,"Yavi, Jujuy",UNION POR LA PATRIA,5.24,6.39,11.63,36.38,40.36,696,848,1543,4829,5356,75.0,18224,13668,1.43,0.08,1.38,196,11
299,LA PAMPA_ATREUCO,"Atreuco, La Pampa",LA LIBERTAD AVANZA,1.45,6.75,28.48,33.14,30.18,114,531,2240,2606,2373,78.81,10147,7997,0.84,0.01,0.81,67,1
300,LA PAMPA_CALEU CALEU,"Caleu Caleu, La Pampa",UNION POR LA PATRIA,6.68,6.68,15.87,34.02,36.76,117,117,278,596,644,80.2,2237,1794,0.89,0.11,1.34,16,2
301,LA PAMPA_CAPITAL,"Capital, La Pampa",UNION POR LA PATRIA,2.9,8.01,19.7,28.65,40.74,2115,5851,14386,20923,29748,77.39,96085,74364,0.8,0.04,0.96,598,27
302,LA PAMPA_CATRILO,"Catrilo, La Pampa",UNION POR LA PATRIA,1.13,4.82,17.7,37.97,38.39,64,274,1006,2158,2182,82.03,7057,5789,0.83,0.24,0.74,48,14
303,LA PAMPA_CHALILEO,"Chalileo, La Pampa",UNION POR LA PATRIA,2.27,4.49,14.07,32.98,46.19,45,89,279,654,916,73.49,2731,2007,0.7,0.0,0.5,14,0
304,LA PAMPA_CHAPALEUFU,"Chapaleufu, La Pampa",LA LIBERTAD AVANZA,1.5,7.21,24.67,37.67,28.95,127,611,2091,3193,2454,77.75,11079,8614,0.82,0.06,0.72,71,5
305,LA PAMPA_CHICAL CO,"Chical Co, La Pampa",UNION POR LA PATRIA,1.64,4.64,19.03,31.59,43.09,17,48,197,327,446,71.78,1474,1058,1.13,0.38,0.66,12,4
306,LA PAMPA_CONHELO,"Conhelo, La Pampa",UNION POR LA PATRIA,1.6,6.73,21.03,34.94,35.7,161,678,2119,3520,3596,77.98,13150,10254,0.84,0.04,0.88,86,4
