id,seccion,agrupacion_ganadora,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
BUENOS AIRES_GENERAL PUEYRREDON,"General Pueyrredon, Buenos Aires",LA LIBERTAD AVANZA,56.72,43.28,223162,170260,72.01,569141,409855,1.79,0.05,2.17,7322,224,BUENOS AIRES
BUENOS AIRES_GENERAL RODRIGUEZ,"General Rodriguez, Buenos Aires",UNION POR LA PATRIA,47.41,52.59,31299,34720,72.88,92825,67647,1.55,0.06,0.79,1051,40,BUENOS AIRES
BUENOS AIRES_GENERAL SAN MARTIN,"General San Martin, Buenos Aires",UNION POR LA PATRIA,47.82,52.18,122681,133850,75.35,351922,265179,1.85,0.07,1.34,4899,197,BUENOS AIRES
BUENOS AIRES_GENERAL VIAMONTE,"General Viamonte, Buenos Aires",LA LIBERTAD AVANZA,54.58,45.42,6597,5490,78.39,15916,12476,1.57,0.02,1.52,196,3,BUENOS AIRES
BUENOS AIRES_GENERAL VILLEGAS,"General Villegas, Buenos Aires",LA LIBERTAD AVANZA,68.04,31.96,12577,5909,73.73,25643,18906,0.95,0.0,1.27,180,0,BUENOS AIRES
BUENOS AIRES_GUAMINI,"Guamini, Buenos Aires",LA LIBERTAD AVANZA,58.49,41.51,4397,3121,76.42,10108,7725,2.28,0.01,0.39,176,1,BUENOS AIRES
BUENOS AIRES_HIPOLITO YRIGOYEN,"Hipolito Yrigoyen, Buenos Aires",LA LIBERTAD AVANZA,60.15,39.85,3509,2325,72.84,8243,6004,1.32,0.02,1.5,79,1,BUENOS AIRES
BUENOS AIRES_HURLINGHAM,"Hurlingham, Buenos Aires",UNION POR LA PATRIA,46.4,53.6,54429,62875,76.68,157798,120996,1.4,0.05,1.61,1693,56,BUENOS AIRES
BUENOS AIRES_ITUZAINGO,"Ituzaingo, Buenos Aires",UNION POR LA PATRIA,47.66,52.34,52845,58026,77.71,148214,115180,2.38,0.06,1.3,2747,64,BUENOS AIRES
BUENOS AIRES_JOSE C. PAZ,"Jose C. Paz, Buenos Aires",UNION POR LA PATRIA,40.13,59.87,67356,100499,74.69,230333,172028,1.12,0.07,1.23,1926,124,BUENOS AIRES
BUENOS AIRES_JUNIN,"Junin, Buenos Aires",LA LIBERTAD AVANZA,56.98,43.02,34593,26116,76.61,82057,62860,1.78,0.09,1.55,1122,56,BUENOS AIRES
BUENOS AIRES_LA COSTA,"La Costa, Buenos Aires",LA LIBERTAD AVANZA,57.28,42.72,31741,23671,71.39,79619,56841,1.46,0.03,1.02,832,17,BUENOS AIRES
BUENOS AIRES_LA MATANZA,"La Matanza, Buenos Aires",UNION POR LA PATRIA,38.81,61.19,303672,478833,76.72,1048994,804780,1.64,0.04,1.09,13193,334,BUENOS AIRES
